,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
30.375,0.3,5,56.309860031925794,148.97982208937242,11.26197200638516,13.509472819751005,799.7103178787037,1000
30.5,0.3,5,56.58998084503906,150.39019898611082,11.317996169007811,13.547977901195056,798.019820168852,1000
30.625,0.3,5,56.86789058934918,151.80755828470174,11.373578117869837,13.585589234112954,796.324551125951,1000
30.75,0.3,5,57.14353291197384,153.23184417964944,11.428706582394769,13.62229748754892,794.6246229083786,1000
30.875,0.3,5,57.416851711878344,154.6629994589482,11.483370342375668,13.65809358140558,792.9201488291753,1000
31.0,0.3,5,57.687791164948464,156.10096551061355,11.537558232989692,13.692968691677853,791.2112433244399,1000
31.125,0.3,5,57.95629574908346,157.5456823298406,11.591259149816691,13.726914255532309,789.4980219210779,1000
31.25,0.3,5,58.22231026928906,158.99708852678947,11.644462053857811,13.75992197622657,787.7806012039234,1000
31.375,0.3,5,58.4857798827506,160.4551213349983,11.69715597655012,13.791983827863648,786.059098782253,1000
31.5,0.3,5,58.746650123865955,161.91971662042224,11.74933002477319,13.823092059976199,784.3336332557136,1000
31.625,0.3,5,59.004866929218124,163.3908088910983,11.800973385843625,13.853239201935907,782.6043241796855,1000
31.75,0.3,5,59.260376662466975,164.8683313074333,11.852075332493396,13.882418067183318,780.8712920301016,1000
31.875,0.3,5,59.513126139139786,166.35221569311355,11.902625227827958,13.910621757273832,779.1346581677485,1000
32.0,0.3,5,59.763062651300075,167.84239254663296,11.952612530260016,13.93784366573548,777.3945448020687,1000
32.125,0.3,5,60.010133992074266,169.3387910534368,12.002026798414853,13.964077481734625,775.6510749544906,1000
32.25,0.3,5,60.254288480015724,170.84133909867697,12.050857696003145,13.989317193545723,773.9043724213091,1000
32.375,0.3,5,60.49547498328578,172.3499632805747,12.099094996657156,14.01355709182162,772.1545617361412,1000
32.5,0.3,5,60.73364294363142,173.86458892438608,12.146728588726285,14.036791772661076,770.4017681319842,1000
32.625,0.3,5,60.96874240013941,175.38514009696465,12.193748480027882,14.059016140470437,768.6461175028977,1000
32.75,0.3,5,61.2007240127467,176.91153962191595,12.24014480254934,14.080225410616551,766.8877363653392,1000
32.875,0.3,5,61.42953908548731,178.44370909533728,12.285907817097463,14.10041511186843,765.1267518191772,1000
33.0,0.3,5,61.65513958945591,179.9815689021359,12.331027917891182,14.119581088625262,763.3632915084099,1000
33.125,0.3,5,61.87747818546836,181.5250382329186,12.375495637093673,14.137719502928691,761.5974835816148,1000
33.25,0.3,5,62.09650824640028,183.07403510144485,12.419301649280056,14.154826836257545,759.8294566521566,1000
33.375,0.3,5,62.312183879184204,184.62847636263513,12.46243677583684,14.170899891103451,758.0593397581824,1000
33.5,0.3,5,62.524459946446946,186.18827773112602,12.504891989289389,14.185935792326015,756.2872623224289,1000
33.625,0.3,5,62.73329208776846,187.75335380036256,12.546658417553692,14.199931988286558,754.5133541118707,1000
33.75,0.3,5,62.93863674054423,189.32361806221843,12.587727348108846,14.212886251759613,752.7377451972392,1000
33.875,0.3,5,63.1404511604335,190.89898292713391,12.6280902320867,14.224796680621669,750.9605659124344,1000
34.0,0.3,5,63.338693441375895,192.47935974476098,12.667738688275179,14.235661698316969,749.1819468138649,1000
34.125,0.3,5,63.533322535159634,194.06465882510471,12.706664507031928,14.24548005410035,747.4020186397374,1000
34.25,0.3,5,63.72429827052468,195.65478946014937,12.744859654104935,14.254250823057403,745.6209122693276,1000
34.375,0.3,5,63.91158137178501,197.24965994595792,12.782316274357003,14.26197340590262,743.8387586822587,1000
34.5,0.3,5,64.09513347695426,198.84917760523214,12.819026695390852,14.268647528556185,742.0556889178152,1000
34.625,0.3,5,64.2749171553598,200.45324881032133,12.854983431071961,14.274273241500666,740.2718340343206,1000
34.75,0.3,5,64.45089592473066,202.0617790066664,12.890179184946131,14.278850918918815,738.4873250686047,1000
34.875,0.3,5,64.62303426774527,203.67467273666614,12.924606853549054,14.282381257614164,736.7022929955904,1000
35.0,0.3,5,64.79129764802575,205.29183366395193,12.958259529605149,14.284865275716244,734.916868688024,1000
35.125,0.3,5,64.95565252556571,206.91316459805708,12.991130505113142,14.28630431117251,733.1311828763788,1000
35.25,0.3,5,65.11606637157927,208.5385675194665,13.023213274315854,14.286700020029313,731.3453661089559,1000
35.375,0.3,5,65.27250768275974,210.16794360503218,13.054501536551948,14.28605437450453,729.5595487122098,1000
35.5,0.3,5,65.42494599493689,211.8011932537391,13.084989198987378,14.28436966085466,727.7738607513256,1000
35.625,0.3,5,65.57335189612236,213.43821611280737,13.114670379224473,14.281648477039393,725.9884319910718,1000
35.75,0.3,5,65.71769703893347,215.07891110411447,13.143539407786694,14.277893730186987,724.2033918569535,1000
35.875,0.3,5,65.8579541523861,216.7231764509221,13.17159083047722,14.273108633863805,722.4188693966931,1000
36.0,0.3,5,65.99409705304876,218.37090970489197,13.198819410609753,14.267296705151903,720.6349932420605,1000
36.125,0.3,5,66.1261006555493,220.02200777337455,13.22522013110986,14.260461761538323,718.8518915710775,1000
36.25,0.3,5,66.25394098242779,221.6763669469539,13.250788196485559,14.252607917620352,717.0696920706197,1000
36.375,0.3,5,66.37759517332884,223.33388292723328,13.275519034665768,14.243739581630924,715.2885218994393,1000
36.5,0.3,5,66.49704149352789,224.99445085484376,13.299408298705577,14.233861451788675,713.5085076516298,1000
36.625,0.3,5,66.61225934178616,226.65796533766007,13.32245186835723,14.222978512477203,711.7297753205552,1000
36.75,0.3,5,66.72322925753025,228.32432047920642,13.34464585150605,14.211096030258348,709.9524502632648,1000
36.875,0.3,5,66.82993292735263,229.99340990723525,13.365986585470527,14.198219549724415,708.1766571654135,1000
37.0,0.3,5,66.9323531908302,231.6651268024623,13.38647063816604,14.184354889194461,706.4025200067089,1000
37.125,0.3,5,67.03047404565865,233.33936392744093,13.40609480913173,14.169508136259745,704.6301620269018,1000
37.25,0.3,5,67.12428065210129,235.0160136555577,13.424856130420258,14.153685643183831,702.8597056923423,1000
37.375,0.3,5,67.21375933675135,236.69496800013363,13.442751867350271,14.136894022162625,701.0912726631163,1000
37.5,0.3,5,67.29889759560801,238.37611864361224,13.459779519121602,14.119140140450112,699.324983760781,1000
37.625,0.3,5,67.37968409646643,240.05935696681874,13.475936819293286,14.100431115355237,697.5609589367161,1000
37.75,0.3,5,67.45610868062326,241.74457407827214,13.491221736124652,14.080774309115851,695.7993172411059,1000
37.875,0.3,5,67.52816236389965,243.43166084353356,13.505632472779931,14.060177323655445,694.040176792568,1000
38.0,0.3,5,67.59583733698437,245.1205079145742,13.519167467396874,14.038647995228633,692.2836547484427,1000
38.125,0.3,5,67.6591269651004,246.8110057591449,13.53182539302008,14.01619438896129,690.5298672757559,1000
38.25,0.3,5,67.71802578699894,248.5030446901316,13.543605157399787,13.992824793291385,688.7789295228707,1000
38.375,0.3,5,67.77252951328553,250.19651489487902,13.554505902657107,13.968547714316554,687.0309555918367,1000
38.5,0.3,5,67.82263502408357,251.89130646446654,13.564527004816714,13.943371870054476,685.2860585114511,1000
38.625,0.3,5,67.868340366041,253.58730942291925,13.5736680732082,13.917306184622177,683.544350211041,1000
38.75,0.3,5,67.90964474868697,255.28441375633813,13.581928949737394,13.890359782340363,681.8059414949761,1000
38.875,0.3,5,67.94654854014517,256.9825094419333,13.589309708029035,13.862541981768912,680.0709420179227,1000
39.0,0.3,5,67.97905326221183,258.6814864769438,13.595810652442367,13.833862289679614,678.3394602608455,1000
39.125,0.3,5,68.00716158480664,260.3812349074287,13.601432316961327,13.804330394972324,676.6116035077658,1000
39.25,0.3,5,68.03087731980503,262.0816448569135,13.606175463961005,13.773956162540516,674.8874778232828,1000
39.375,0.3,5,68.0502054142618,263.7826065548768,13.610041082852359,13.742749627092358,673.1671880308627,1000
39.5,0.3,5,68.06515194303519,265.4840103650618,13.613030388607038,13.710720986933316,671.4508376919042,1000
39.625,0.3,5,68.07572410082246,267.1857468135976,13.615144820164492,13.677880597716204,669.7385290855813,1000
39.75,0.3,5,68.08193019361715,268.8877066169163,13.61638603872343,13.64423896616462,668.0303631894678,1000
39.875,0.3,5,68.08377962960002,270.58978070945153,13.616755925920003,13.609806743775623,666.3264396609499,1000
40.0,0.3,5,68.08128290947461,272.29186027110273,13.616256581894921,13.574594720507422,664.626856819424,1000
40.125,0.3,5,68.07445161626033,273.99383675445466,13.614890323252066,13.53861381845775,662.9317116292863,1000
40.25,0.3,5,68.06329840455508,275.6956019117347,13.612659680911017,13.501875085538583,661.2410996837115,1000
40.375,0.3,5,68.04783698928064,277.3970478214984,13.609567397856129,13.464389689152721,659.5551151892222,1000
40.5,0.3,5,68.02808213392406,279.098066915028,13.605616426784811,13.426168909877665,657.8738509510491,1000
40.625,0.3,5,68.00404963828862,280.79855200243287,13.600809927657725,13.387224135162091,656.1973983592796,1000
40.75,0.3,5,67.97575632576836,282.4983962984388,13.595151265153671,13.347566853040204,654.5258473757939,1000
40.875,0.3,5,67.94322003016039,284.19749344785527,13.588644006032078,13.307208645869034,652.8592865219855,1000
41.0,0.3,5,67.90645958202965,285.8957375507083,13.581291916405931,13.266161184093693,651.1978028672631,1000
41.125,0.3,5,67.86549479464071,287.593023187029,13.573098958928142,13.224436220045487,649.5414820183315,1000
41.25,0.3,5,67.82034644947169,289.2892454412856,13.564069289894338,13.182045581777558,647.8904081092439,1000
41.375,0.3,5,67.77103628132555,290.98429992645003,13.55420725626511,13.139001166942785,646.2446637922257,1000
41.5,0.3,5,67.71758696305422,292.67808280768907,13.543517392610843,13.095314936718326,644.6043302292579,1000
